;),emo,ebayfr-e17p_0_100.xml
:-),emo,ebayfr-e17p_0_100.xml
:-),emo,ebayfr-e18v_0_100.xml
;),emo,ebayfr-e18v_0_100.xml
:-,emo,ebayfr-e18v_0_100.xml
</3,emoticon,sms_0_29507
<harg>,emoticon,sms_0_29507
:&,emoticon,sms_0_29507
<_>,emoticon,sms_0_29507
:-/,emoticon,sms_0_29507
<.>,emoticon,sms_0_29507
xd,emoticon,sms_0_29507
><,emoticon,sms_0_29507
:d,emoticon,sms_0_29507
<>,emoticon,sms_0_29507
:o,emoticon,sms_0_29507
:O,emoticon,sms_0_29507
:-(,emoticon,sms_0_29507
=),emoticon,sms_0_29507
--',emoticon,sms_0_29507
x),emoticon,sms_0_29507
;-),emoticon,sms_0_29507
XD,emoticon,sms_0_29507
:/,emoticon,sms_0_29507
:P,emoticon,sms_0_29507
:(,emoticon,sms_0_29507
xD,emoticon,sms_0_29507
:D,emoticon,sms_0_29507
:p,emoticon,sms_0_29507
;),emoticon,sms_0_29507
<3,emoticon,sms_0_29507
:-),emoticon,sms_0_29507
^^,emoticon,sms_0_29507
:),emoticon,sms_0_29507
